,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,RBF_SVC,0.6666666666666666,0.6103950103950104,-1
1,1,LINCS,False,RBF_SVC,0.696078431372549,0.6724137931034483,-1
2,2,LINCS,False,RBF_SVC,0.696078431372549,0.665725806451613,-1
3,3,LINCS,False,RBF_SVC,0.6176470588235294,0.6064249113125739,-1
4,4,LINCS,False,RBF_SVC,0.6372549019607843,0.598960498960499,-1
5,0,COSMIC,False,RBF_SVC,0.6078431372549019,0.588095238095238,-1
6,1,COSMIC,False,RBF_SVC,0.6862745098039216,0.661764705882353,-1
7,2,COSMIC,False,RBF_SVC,0.6764705882352942,0.653014553014553,-1
8,3,COSMIC,False,RBF_SVC,0.696078431372549,0.6883223684210527,-1
9,4,COSMIC,False,RBF_SVC,0.7352941176470589,0.7266924564796905,-1
