Drug,Tissue,Metric,Model,Best Value,Second Best Value,Range,Second Gap
Nivo,SKCM,accuracy,LogisticRegression,0.6872727272727271,0.6472727272727273,0.09818181818181804,0.039999999999999813
Nivo,SKCM,balanced_accuracy,LogisticRegression,0.5968605430517195,0.556899716296775,0.07371217533756236,0.0399608267549445
Nivo,SKCM,roc_auc,LogisticRegression,0.6855165419102585,0.5923997342526754,0.15362293439977792,0.09311680765758301
Nivo,SKCM,accuracy,RandomForest,0.7163636363636364,0.6781818181818181,0.07636363636363641,0.03818181818181832
Nivo,SKCM,balanced_accuracy,RandomForest,0.598181172198974,0.5598659951159951,0.0711042132102504,0.038315177082978935
Nivo,SKCM,roc_auc,RandomForest,0.6532501775556588,0.6505914437299886,0.07308870912213161,0.0026587338256702786
Nivo,KIRC,accuracy,LogisticRegression,0.8133333333333335,0.8066666666666668,0.060000000000000164,0.00666666666666671
Nivo,KIRC,balanced_accuracy,LogisticRegression,0.508,0.5,0.020000000000000018,0.008000000000000007
Nivo,KIRC,roc_auc,LogisticRegression,0.5,0.5,0.023999999999999966,0.0
Nivo,KIRC,accuracy,RandomForest,0.8,0.7866666666666667,0.08000000000000007,0.013333333333333308
Nivo,KIRC,balanced_accuracy,RandomForest,0.512,0.508,0.03200000000000003,0.0040000000000000036
Nivo,KIRC,roc_auc,RandomForest,0.5429999999999999,0.5338333333333334,0.15799999999999992,0.009166666666666545
