Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Pembro,COSMIC,SKCM,Logistic Regression,Accuracy,0.3169070742473108,0.3169070742473108,0.3169070742473108
Pembro,KEGG,SKCM,Logistic Regression,Accuracy,0.0073245341142161215,0.0073245341142161215,0.013538194072641405
Pembro,CGL,SKCM,Logistic Regression,Accuracy,0.11092256989183454,0.11092256989183454,0.12940966487380698
Pembro,MDSIG-DB,SKCM,Logistic Regression,Accuracy,0.007736110898652231,0.007736110898652231,0.013538194072641405
Pembro,IMPRES,SKCM,Logistic Regression,Accuracy,0.018517361156544464,0.018517361156544464,0.02592430561916225
Pembro,ALL,SKCM,Logistic Regression,Accuracy,<0.005,0.00027895673717896307,0.0009763485801263708
Pembro,IMM. FEAT,SKCM,Logistic Regression,Accuracy,<0.005,1.2434599663021537e-06,8.704219764115077e-06
Pembro,COSMIC,SKCM,Logistic Regression,Balanced Accuracy,0.005858428969377699,0.005858428969377699,0.006834833797607316
Pembro,KEGG,SKCM,Logistic Regression,Balanced Accuracy,<0.005,0.0033907034117719205,0.004746984776480689
Pembro,CGL,SKCM,Logistic Regression,Balanced Accuracy,0.010413385786565837,0.010413385786565837,0.010413385786565837
Pembro,MDSIG-DB,SKCM,Logistic Regression,Balanced Accuracy,<0.005,8.157520783582877e-05,0.0001903421516169338
Pembro,IMPRES,SKCM,Logistic Regression,Balanced Accuracy,<0.005,0.0006846289315425364,0.0011981006301994388
Pembro,ALL,SKCM,Logistic Regression,Balanced Accuracy,<0.005,6.412780184841363e-05,0.0001903421516169338
Pembro,IMM. FEAT,SKCM,Logistic Regression,Balanced Accuracy,<0.005,6.866109124392862e-08,4.806276387075004e-07
Pembro,COSMIC,SKCM,Logistic Regression,Area Under ROC Curve,0.016117571569395528,0.016117571569395528,0.016117571569395528
Pembro,KEGG,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,0.000307359762829015,0.0003585863899671842
Pembro,CGL,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,3.8820097360430594e-05,6.793517038075354e-05
Pembro,MDSIG-DB,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,2.653825127913277e-06,6.192258631797646e-06
Pembro,IMPRES,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,0.00015460367416062553,0.00021644514382487573
Pembro,ALL,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,7.499363804400381e-07,2.6247773315401337e-06
Pembro,IMM. FEAT,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,8.540740749874719e-08,5.978518524912304e-07
Pembro,COSMIC,SKCM,Random Forest,Accuracy,0.7265727415269065,0.7265727415269065,0.8476681984480576
Pembro,KEGG,SKCM,Random Forest,Accuracy,0.442586160586947,0.442586160586947,0.6196206248217258
Pembro,CGL,SKCM,Random Forest,Accuracy,<0.005,0.004011922065209656,0.014041727228233795
Pembro,MDSIG-DB,SKCM,Random Forest,Accuracy,0.8535585882797349,0.8535585882797349,0.8535585882797349
Pembro,IMPRES,SKCM,Random Forest,Accuracy,0.025182247326002282,0.025182247326002282,0.05875857709400533
Pembro,ALL,SKCM,Random Forest,Accuracy,0.2940089575087087,0.2940089575087087,0.5145156756402403
Pembro,IMM. FEAT,SKCM,Random Forest,Accuracy,<0.005,3.7809641082359734e-08,2.6466748757651814e-07
Pembro,COSMIC,SKCM,Random Forest,Balanced Accuracy,0.34171337265663915,0.34171337265663915,0.4783987217192948
Pembro,KEGG,SKCM,Random Forest,Balanced Accuracy,0.2215419411919961,0.2215419411919961,0.3876983970859932
Pembro,CGL,SKCM,Random Forest,Balanced Accuracy,0.13017242401938045,0.13017242401938045,0.30373565604522107
Pembro,MDSIG-DB,SKCM,Random Forest,Balanced Accuracy,0.5219614617179233,0.5219614617179233,0.5219614617179233
Pembro,IMPRES,SKCM,Random Forest,Balanced Accuracy,0.01102531588397918,0.01102531588397918,0.038588605593927135
Pembro,ALL,SKCM,Random Forest,Balanced Accuracy,0.4848209895175395,0.4848209895175395,0.5219614617179233
Pembro,IMM. FEAT,SKCM,Random Forest,Balanced Accuracy,<0.005,3.200887812924651e-08,2.2406214690472556e-07
Pembro,COSMIC,SKCM,Random Forest,Area Under ROC Curve,0.07745301640549514,0.07745301640549514,0.09036185247307767
Pembro,KEGG,SKCM,Random Forest,Area Under ROC Curve,0.007856148366986239,0.007856148366986239,0.013748259642225919
Pembro,CGL,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.004901861038274267,0.01143767575597329
Pembro,MDSIG-DB,SKCM,Random Forest,Area Under ROC Curve,0.19360407089423592,0.19360407089423592,0.19360407089423592
Pembro,IMPRES,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.002035157807278379,0.007123052325474326
Pembro,ALL,SKCM,Random Forest,Area Under ROC Curve,0.06817204557664998,0.06817204557664998,0.09036185247307767
Pembro,IMM. FEAT,SKCM,Random Forest,Area Under ROC Curve,<0.005,3.580000423622592e-08,2.5060002965358145e-07
