Run_ID,Response
A549_LUNG,0
AU565_BREAST,0
BT20_BREAST,0
BT474_BREAST,0
BT549_BREAST,0
CAL120_BREAST,0
CAL148_BREAST,1
CAL51_BREAST,1
CAL851_BREAST,0
CALU3_LUNG,0
CALU6_LUNG,0
CAMA1_BREAST,0
CORL105_LUNG,0
DU4475_BREAST,1
DV90_LUNG,1
EFM192A_BREAST,0
EKVX_LUNG,0
HCC1143_BREAST,1
HCC1195_LUNG,1
HCC1395_BREAST,0
HCC1419_BREAST,0
HCC1428_BREAST,0
HCC1500_BREAST,0
HCC1806_BREAST,0
HCC1833_LUNG,1
HCC1937_BREAST,0
HCC1954_BREAST,0
HCC202_BREAST,0
HCC2108_LUNG,1
HCC2218_BREAST,0
HCC2279_LUNG,0
HCC366_LUNG,0
HCC38_BREAST,0
HCC4006_LUNG,0
HCC44_LUNG,1
HCC78_LUNG,0
HCC827_LUNG,0
HDQP1_BREAST,0
HMC18_BREAST,1
HOP62_LUNG,0
HS578T_BREAST,1
JIMT1_BREAST,0
KPL1_BREAST,0
LXF289_LUNG,0
MCF7_BREAST,1
MDAMB157_BREAST,0
MDAMB231_BREAST,0
MDAMB361_BREAST,0
MDAMB453_BREAST,0
MDAMB468_BREAST,1
MORCPR_LUNG,0
PC14_LUNG,1
RERFLCAD1_LUNG,0
RERFLCAD2_LUNG,0
RERFLCMS_LUNG,1
SKBR3_BREAST,0
SKLU1_LUNG,0
SW1573_LUNG,0
T47D_BREAST,0
ZR751_BREAST,0
ZR7530_BREAST,0
NCIH1395_LUNG,0
NCIH1666_LUNG,1
NCIH1755_LUNG,0
NCIH1975_LUNG,1
NCIH2087_LUNG,1
NCIH2122_LUNG,0
NCIH23_LUNG,1
NCIH358_LUNG,1
NCIH441_LUNG,0
NCIH322_LUNG,0
NCIH522_LUNG,0
NCIH647_LUNG,0
NCIH650_LUNG,0
NCIH838_LUNG,0
NCIH1355_LUNG,0
NCIH1373_LUNG,0
NCIH1435_LUNG,1
NCIH1563_LUNG,0
NCIH1568_LUNG,0
NCIH1573_LUNG,0
NCIH1623_LUNG,0
NCIH1650_LUNG,0
NCIH1734_LUNG,1
NCIH1792_LUNG,0
NCIH1793_LUNG,0
NCIH1838_LUNG,0
NCIH1944_LUNG,0
NCIH2009_LUNG,1
NCIH2023_LUNG,0
NCIH2030_LUNG,0
NCIH2085_LUNG,1
NCIH2126_LUNG,0
NCIH2228_LUNG,1
NCIH2291_LUNG,0
NCIH2342_LUNG,0
NCIH2405_LUNG,1
